faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Corynebacterium;Corynebacterium mycetoides;;Corynebacterium mycetoides ;fermentation|fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium nitrilophius;;Corynebacterium nitrilophius ;plastic_degradation;DOI:10.1007/s00253-008-1548-5
Corynebacterium;Corynebacterium pilosum;;Corynebacterium pilosum ;nitrate_reduction |nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium propinquum;;Corynebacterium propinquum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium pseudodiphtheriticum;;Corynebacterium pseudodiphtheriticum ;nitrate_reduction |nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium pseudogenitalum;;Corynebacterium pseudogenitalum ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Corynebacterium;Corynebacterium pseudotuberculosis;;Corynebacterium pseudotuberculosis ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium renale;;Corynebacterium renale ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium resistens;;Corynebacterium resistens ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium riegelii;;Corynebacterium riegelii ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium seminale;;Corynebacterium seminale ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Corynebacterium;Corynebacterium simulans;;Corynebacterium simulans ;fermentation|nitrate_reduction |chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium singulare;;Corynebacterium singulare ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium sphenisci;;Corynebacterium sphenisci ;nitrate_reduction |nitrate_reduction |nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium spheniscorum;;Corynebacterium spheniscorum ;fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium sputi;;Corynebacterium sputi ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium stationis;;Corynebacterium stationis ;nitrate_reduction |nitrate_reduction |nitrate_reduction |nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium striatum;;Corynebacterium striatum ;aerobic_chemoheterotrophy|human_pathogens_all|nitrate_reduction |human_associated|animal_parasites_or_symbionts|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium sundsvallense;;Corynebacterium sundsvallense ;fermentation|ureolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium terpenotabidum;;Corynebacterium terpenotabidum ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium testudinoris;;Corynebacterium testudinoris ;nitrate_reduction |nitrate_reduction |nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium thomssenii;;Corynebacterium thomssenii ;fermentation|ureolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium ulcerans;;Corynebacterium ulcerans ;fermentation|fermentation|human_pathogens_all|ureolysis|human_associated|animal_parasites_or_symbionts|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium urealyticum;;Corynebacterium urealyticum ;human_pathogens_all|human_pathogens_all|ureolysis|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1267754.3 NCBI Taxon ID: 1267754 Disease: Urinary tract infection| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium ureicelerivorans;;Corynebacterium ureicelerivorans ;human_pathogens_septicemia|human_pathogens_all|ureolysis|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 401472.3 NCBI Taxon ID: 401472 Disease: Septicemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 401472.3 NCBI Taxon ID: 401472 Disease: Septicemia| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium vitaeruminis;;Corynebacterium vitaeruminis ;nitrate_reduction |nitrate_reduction |nitrate_reduction |nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium xerosis;;Corynebacterium xerosis ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Costertonia;Costertonia aggregata;;Costertonia aggregata ;nitrate_denitrification|nitrate_denitrification|aerobic_chemoheterotrophy|aerobic_chemoheterotrophy|ureolysis|nitrite_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrite_respiration|nitrate_respiration|nitrate_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|chemoheterotrophy|nitrous_oxide_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrite_respiration|nitrate_reduction |nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4| Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4| Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4| Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4| Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Couchioplanes;Couchioplanes caeruleus;;Couchioplanes caeruleus ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Coxiella;Coxiella burnetii;;Coxiella burnetii ;animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Craurococcus;Craurococcus roseus;;Craurococcus roseus ;nitrate_reduction |aerobic_anoxygenic_phototrophy|photoheterotrophy|phototrophy|phototrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C| DOI:10.1007/978-1-4020-8815-5_3
Croceibacter;Croceibacter atlanticus;;Croceibacter atlanticus ;aerobic_chemoheterotrophy|ureolysis|chemoheterotrophy;DOI:10.1078/072320203322337344| Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Croceitalea;Croceitalea dokdonensis;;Croceitalea dokdonensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65697-0
Croceitalea;Croceitalea eckloniae;;Croceitalea eckloniae ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1099/ijs.0.65697-0
Crocosphaera;Crocosphaera watsonii;;Crocosphaera watsonii ;nitrogen_fixation;DOI:10.1111/jpy.12090
Cronobacter;Cronobacter condimenti;;Cronobacter condimenti ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1073999.4 NCBI Taxon ID: 1073999 Disease: Necrotizing enterocolitis Meningitis Septicaemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1073999.4 NCBI Taxon ID: 1073999 Disease: Necrotizing enterocolitis Meningitis Septicaemia
Cronobacter;Cronobacter dublinensis;;Cronobacter dublinensis ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208656.3 NCBI Taxon ID: 1208656 Disease: Necrotizing enterocolitis Meningitis Septicaemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208656.3 NCBI Taxon ID: 1208656 Disease: Necrotizing enterocolitis Meningitis Septicaemia
Cronobacter;Cronobacter malonaticus;;Cronobacter malonaticus ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208662.3 NCBI Taxon ID: 1208662 Disease: Necrotizing enterocolitis Meningitis Septicaemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208662.3 NCBI Taxon ID: 1208662 Disease: Necrotizing enterocolitis Meningitis Septicaemia
Cronobacter;Cronobacter sakazakii;;Cronobacter sakazakii ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_pathogens_all|human_associated|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208592.3 NCBI Taxon ID: 1208592 Disease: Necrotizing enterocolitis Meningitis Septicaemia| DOI:10.1111/j.1574-6941.2011.01248.x| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208592.3 NCBI Taxon ID: 1208592 Disease: Necrotizing enterocolitis Meningitis Septicaemia
Cronobacter;Cronobacter turicensis;;Cronobacter turicensis ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208590.3 NCBI Taxon ID: 1208590 Disease: Necrotizing enterocolitis Meningitis Septicaemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1208590.3 NCBI Taxon ID: 1208590 Disease: Necrotizing enterocolitis Meningitis Septicaemia
Cronobacter;Cronobacter universalis;;Cronobacter universalis ;human_pathogens_meningitis|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1074000.3 NCBI Taxon ID: 1074000 Disease: Necrotizing enterocolitis Meningitis Septicaemia| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1074000.3 NCBI Taxon ID: 1074000 Disease: Necrotizing enterocolitis Meningitis Septicaemia
Crossiella;Crossiella cryophila;;Crossiella cryophila ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryobacterium;Cryobacterium mesophilum;;Cryobacterium mesophilum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryobacterium;Cryobacterium psychrotolerans;;Cryobacterium psychrotolerans ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryobacterium;Cryobacterium roopkundense;;Cryobacterium roopkundense ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryomorpha;Cryomorpha ignava;;Cryomorpha ignava ;ureolysis;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Cryptosorangium;Cryptosorangium minutisporangium;;Cryptosorangium minutisporangium ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryptosporangium;Cryptosporangium arvum;;Cryptosporangium arvum ;nitrate_reduction |ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryptosporangium;Cryptosporangium aurantiacum;;Cryptosporangium aurantiacum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Cryptosporangium;Cryptosporangium minutisporangium;;Cryptosporangium minutisporangium ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Curtobacterium;Curtobacterium albidum;;Curtobacterium albidum ;plant_pathogen;UK National Collection of Plant Pathogenic Bacteria. NCPPB No: 4110
