ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Deinococcus;Deinococcus yunweiensis;YIM 007T;Deinococcus yunweiensis YIM 007T;other;negative;aerobic;alphaGalactosidase|catalasePositive|oxidasePositive|ureasePositive;arabinose|galcturonicAcid|glucose|maltose|mannitol|melibiose|rhamnose|salicin|sorbitol|sucrose;10.1099/ijs.0.64292-0
Delftia;Delftia lacustris;332T;Delftia lacustris 332T;freshwater (river| lake| pond);negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;3-hydroxybenzoate|adipate|arabinose|asparagine|caprate|citrate|gelatin|gluconicAcid|glycogen|malate|mannitol|mannose|N-acetylgulcosamine|phenylacetate|phenylalanine|pyruvate|pyruvicAcidMethylEster|threonine|Tween40|Tween80;10.1099/ijs.0.008375-0
Delftia;Delftia litopenaei;wsw-7;Delftia litopenaei wsw-7;freshwater (river| lake| pond);negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive;acetate|alanine|asparagine|aspartate|dextrin|formicAcid|fructose|gluconicAcid|glutamicAcid|histidine|lactate|leucine|mannitol|phenylalanine|proline|pyruvicAcidMethylEster|quinicAcid|threonine|Tween40|Tween80;10.1099/ijs.0.037507-0
Demequina;Demequina flava;HR08-7;Demequina flava HR08-7;marine sediment;positive;anaerobic;acidPhosphatase|aesculinHydrolysis;arabinose|cellobiose|fructose|galactose|glucose|leucine|maltose|mannose|salicin|xylose;10.1099/ijs.0.039297-0
Demequina;Demequina lutea;SV45T ;Demequina lutea SV45T;soil;positive;facultative;alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite;dextrin|glucose|sucrose|xylose;10.1099/ijs.0.004929-0
Demequina;Demequina salsinemoris;KV-810;Demequina salsinemoris KV-810;soil;;aerobic;aesculinHydrolysis|catalasePositive|acidPhosphatase|aesculinHydrolysis|alphaGalactosidase|catalasePositive;galactose|maltose|rhamnose|arabinose|cellobiose|fructose|galactose|glucose|maltose|mannose|rhamnose|salicin|xylose;10.1099/ijs.0.012617-0
Demequina;Demequina sediminicola;HR08-43;Demequina sediminicola HR08-43;marine sediment;positive;anaerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive;cellobiose|fructose|galactose|glucose|lactose|maltose|mannitol|mannose|rhamnose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.039297-0
Denitratisoma;Denitratisoma oestradiolicum;AcBE2-1;Denitratisoma oestradiolicum AcBE2-1;wastewater;negative;aerobic;nitrateReductionToNitrite|oxidasePositive;acetate|pyruvate;10.1099/ijs.0.63672-0
Dermacoccus;Dermacoccus abyssi;MT1.1;Dermacoccus abyssi MT1.1;freshwater sediment (river| lake| pond);positive;aerobic;aesculinHydrolysis;;10.1099/ijs.0.64133-0
Derxia;Derxia lacustris;HL-12;Derxia lacustris HL-12;freshwater (river| lake| pond);negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;acetate|formicAcid|fructose|gluconicAcid|glucose|lactate|quinicAcid;10.1099/ijs.0.041186-0
Derxomyces;Derxomyces amylogenes;ZJJ-890;Derxomyces amylogenes ZJJ-890;plant associated;;;ureasePositive;arabinose|cellobiose|citrate|galactose|glucose|maltose|mannitol|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.033241-0
Derxomyces;Derxomyces bambusicola;GT-475;Derxomyces bambusicola GT-475;plant associated;;;ureasePositive;arabinose|cellobiose|galactose|glucose|maltose|mannitol|melibiose|raffinose|rhamnose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.033241-0
Derxomyces;Derxomyces corylopsis;ZJJ-394;Derxomyces corylopsis ZJJ-394;plant associated;;;ureasePositive;arabinose|cellobiose|galactose|glucose|maltose|mannitol|melibiose|raffinose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.033241-0
Desertibacter;Desertibacter roseus;2622T;Desertibacter roseus 2622T;soil;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite|oxidasePositive|ureasePositive;gelatin;10.1099/ijs.0.021246-0
Desmospora;Desmospora activa;IMMIB L-1269T;Desmospora activa IMMIB L-1269T;human - mouth;positive;aerobic;aesculinHydrolysis|catalasePositive|ureasePositive;acetate|alanine|arginine|citrate|galactose|gelatin|gluconicAcid|glucose|lactate|lactose|proline|serine|sorbitol|sucrose|trehalose|urea|xylose;10.1099/ijs.0.001362-0
Desulfatibacillum;Desulfatibacillum aliphaticivorans;CV2803T;Desulfatibacillum aliphaticivorans CV2803T;marine sediment;negative;;;acetate|formicAcid|pyruvate;10.1099/ijs.0.02717-0
Desulfatibacillum;Desulfatibacillum alkenivorans;PF2803T;Desulfatibacillum alkenivorans PF2803T;wastewater;negative;;;butanol|glycerol|malate|pyruvate|valerate;10.1099/ijs.0.63104-0
Desulfatiferula;Desulfatiferula olefinivorans;LM2801T;Desulfatiferula olefinivorans LM2801T;wastewater;negative;anaerobic;;;10.1099/ijs.0.65240-0
Desulfatirhabdium;Desulfatirhabdium butyrativorans;HB1;Desulfatirhabdium butyrativorans HB1;other;negative;anaerobic;;2,3-butanediol|4-hydroxbenzoate|acetate|ethanol|formicAcid|pyruvate;10.1099/ijs.0.65396-0
Desulfatitalea;Desulfatitalea tepidiphila;S28bF;Desulfatitalea tepidiphila S28bF;marine sediment;negative;anaerobic;;acetate|formicAcid|lactate|pyruvate;10.1099/ijs.0.043356-0
Desulfitobacterium;Desulfitobacterium aromaticivorans;UKTL;Desulfitobacterium aromaticivorans UKTL;soil;positive;anaerobic;;acetate|formicAcid|malate;10.1099/ijs.0.003525-0
Desulfobaculum;Desulfobaculum xiamenensis;P1;Desulfobaculum xiamenensis P1;estuarine sediment;negative;anaerobic;;cellobiose|galactose;10.1099/ijs.0.036632-0
Desulfobulbus;Desulfobulbus alkaliphilus;APS1;Desulfobulbus alkaliphilus APS1;hypersaline environment;negative;anaerobic;;pyruvate;10.1099/ijs.0.029777-0
Desulfobulbus;Desulfobulbus japonicus;Pro1T;Desulfobulbus japonicus Pro1T;estuarine sediment;negative;anaerobic;;alanine|butanol|ethanol|formicAcid|fructose|glucose|glycerol|lactate|malate|pyruvate;10.1099/ijs.0.64855-0
Desulfoconvexum;Desulfoconvexum algidum;JHA1;Desulfoconvexum algidum JHA1;marine sediment;negative;anaerobic;;alanine|butanol|caprate|ethanol|formicAcid|glycerol|glycine|lactate|malate|mannitol|proline|serine|sorbitol|valerate;10.1099/ijs.0.043703-0
Desulfocurvus;Desulfocurvus thunnarius;Olac 40;Desulfocurvus thunnarius Olac 40;wastewater;negative;anaerobic;;acetate|formicAcid|lactate|pyruvate;10.1099/ijs.0.051664-0
Desulfocurvus;Desulfocurvus vexinensis;VNs36T;Desulfocurvus vexinensis VNs36T;other;negative;anaerobic;;acetate|formicAcid|lactate|pyruvate;10.1099/ijs.0.010363-0
Desulfofaba;Desulfofaba fastidiosa;P2T;Desulfofaba fastidiosa P2T;marine sediment;;anaerobic;;lactate;10.1099/ijs.0.02820-0
Desulfoluna;Desulfoluna butyratoxydans;MSL71;Desulfoluna butyratoxydans MSL71;estuarine sediment;negative;anaerobic;;butanol|ethanol|formicAcid|glycerol|lactate|malate|pyruvate;10.1099/ijs.0.65306-0
Desulfoluna;Desulfoluna spongiiphila;AA1T;Desulfoluna spongiiphila AA1T;seawater;negative;anaerobic;H2Sproduction;citrate|glucose|lactate|pyruvate;10.1099/ijs.0.005884-0
Desulfonatronobacter;Desulfonatronobacter acidivorans;APT2;Desulfonatronobacter acidivorans APT2;hypersaline environment;negative;anaerobic;;valerate;10.1099/ijs.0.029777-0
Desulfonatronum;Desulfonatronum cooperativum;Z-7999T;Desulfonatronum cooperativum Z-7999T;other;negative;anaerobic;H2Sproduction;acetate|formicAcid|lactate;10.1099/ijs.0.63490-0
Desulfopila;Desulfopila aestuarii;MSL86T;Desulfopila aestuarii MSL86T;estuarine sediment;negative;anaerobic;;butanol|ethanol|glycerol|lactate|pyruvate;10.1099/ijs.0.64600-0
Desulfopila;Desulfopila inferna; JS _ SRB250Lac;Desulfopila inferna JS _ SRB250Lac;other;negative;facultative;;pyruvate;10.1099/ijs.0.015644-0
Desulfopila;Desulfopila inferna;JS_SRB250Lac;Desulfopila inferna JS_SRB250Lac;marine sediment;negative;;;caprate|ethanol|formicAcid|glycerol|lactate|proline|pyruvate|valerate;10.1099/ijs.0.015644-0
Desulfosalsimonas;Desulfosalsimonas propionicica;PropA;Desulfosalsimonas propionicica PropA;hypersaline environment;negative;anaerobic;;butanol|ethanol|lactate;10.1099/ijs.0.014746-0
Desulfosoma;Desulfosoma caldarium;USBA-053T;Desulfosoma caldarium USBA-053T;hotspring;negative;anaerobic;H2Sproduction;pyruvate;10.1099/ijs.0.020586-0
Desulfosporosinus;Desulfosporosinus burensis;BSREI1;Desulfosporosinus burensis BSREI1;freshwater (river| lake| pond);negative;anaerobic;H2Sproduction;acetate|butanol|citrate|ethanol|glucose|malate;10.1099/ijs.0.035238-0
Desulfosporosinus;Desulfosporosinus hippei;343;Desulfosporosinus hippei 343;other;negative;;;ethanol;10.1099/ijs.0.65368-0
Desulfosporosinus;Desulfosporosinus youngiae;JW/YJL-B18T;Desulfosporosinus youngiae JW/YJL-B18T;freshwater sediment (river| lake| pond);negative;anaerobic;;ethanol|formicAcid|lactate|pyruvate;10.1099/ijs.0.007336-0
Desulfothermus;Desulfothermus okinawensis;TFISO9T;Desulfothermus okinawensis TFISO9T;other;;;;acetate|citrate|ethanol|formicAcid|glucose|glycerol|lactate|malate|pyruvate|valerate;10.1099/ijs.0.64781-0
Desulfotignum;Desulfotignum toluenicum;H3T;Desulfotignum toluenicum H3T;other;negative;anaerobic;catalasePositive|H2Sproduction;4-hydroxbenzoate|acetate|caprate|pyruvate;10.1099/ijs.0.65067-0
Desulfotomaculum;Desulfotomaculum alcoholivorax;RE35E1;Desulfotomaculum alcoholivorax RE35E1;other;positive;;;;10.1099/ijs.0.65025-0
Desulfotomaculum;Desulfotomaculum arcticum;15;Desulfotomaculum arcticum 15;other;variable;anaerobic;;lactate;10.1099/ijs.0.64058-0
Desulfotomaculum;Desulfotomaculum carboxydivorans;CO-1-SRBT;Desulfotomaculum carboxydivorans CO-1-SRBT;bioreactor;positive;anaerobic;alkalinePhosphatase|H2Sproduction;ethanol|fructose|glucose|lactate|pyruvate|serine;10.1099/ijs.0.63780-0
Desulfotomaculum;Desulfotomaculum defluvii;A5LFS102;Desulfotomaculum defluvii A5LFS102;other;negative;anaerobic;;fructose|glucose;10.1099/ijs.0.047662-0
Desulfotomaculum;Desulfotomaculum hydrothermale;Lam5;Desulfotomaculum hydrothermale Lam5;hotspring;negative;anaerobic;;acetate|formicAcid;10.1099/ijs.0.65339-0
Desulfotomaculum;Desulfotomaculum intricatum;SR45;Desulfotomaculum intricatum SR45;freshwater sediment (river| lake| pond);negative;;;acetate;10.1099/ijs.0.051854-0
Desulfotomaculum;Desulfotomaculum peckii;LINDBHT1;Desulfotomaculum peckii LINDBHT1;other;positive;anaerobic;;acetate|butanol|ethanol;10.1099/ijs.0.043893-0
Desulfovibrio;Desulfovibrio alaskensis;Al1T;Desulfovibrio alaskensis Al1T;other;negative;anaerobic;;lactate|pyruvate;10.1099/ijs.0.63118-0
Desulfovibrio;Desulfovibrio alkalitolerans;RT2;Desulfovibrio alkalitolerans RT2;other;;anaerobic;;formicAcid|lactate|pyruvate;10.1099/ijs.0.63909-0
Desulfovibrio;Desulfovibrio arcticus;B15;Desulfovibrio arcticus B15;other;negative;;;acetate|ethanol|formicAcid|lactate|pyruvate;10.1099/ijs.0.021451-0
Desulfovibrio;Desulfovibrio bastinii;SRL4225T;Desulfovibrio bastinii SRL4225T;wastewater;negative;anaerobic;;butanol|ethanol|glycerol|lactate|malate|pyruvate;10.1099/ijs.0.02977-0
Desulfovibrio;Desulfovibrio butyratiphilus;BSY;Desulfovibrio butyratiphilus BSY;other;negative;anaerobic;;pyruvate;10.1099/ijs.0.013771-0
Desulfovibrio;Desulfovibrio carbinoliphilus;D41;Desulfovibrio carbinoliphilus D41;other;negative;;;;10.1099/ijs.0.65524-0
Desulfovibrio;Desulfovibrio ferrireducens;61;Desulfovibrio ferrireducens 61;other;negative;anaerobic;;ethanol|formicAcid|lactate;10.1099/ijs.0.64057-0
Desulfovibrio;Desulfovibrio frigidus;18;Desulfovibrio frigidus 18;other;negative;anaerobic;;alanine|ethanol;10.1099/ijs.0.64057-0
Desulfovibrio;Desulfovibrio gracilis;SRL6146T;Desulfovibrio gracilis SRL6146T;wastewater;negative;anaerobic;;acetate|lactate|pyruvate;10.1099/ijs.0.02977-0
Desulfovibrio;Desulfovibrio idahonensis;CY1T;Desulfovibrio idahonensis CY1T;freshwater sediment (river| lake| pond);negative;;;pyruvate;10.1099/ijs.0.016709-0
Desulfovibrio;Desulfovibrio marinisediminis;C/L2;Desulfovibrio marinisediminis C/L2;other;negative;anaerobic;catalasePositive;aspartate|glycerol;I 10.1099/ijs.0.65750-0
Desulfovibrio;Desulfovibrio marinus;E-2T ;Desulfovibrio marinus E-2T;marine sediment;negative;anaerobic;;formicAcid|fructose|lactate|malate|pyruvate;10.1099/ijs.0.64790-0
Desulfovibrio;Desulfovibrio marrakechensis;EMSSDQ4 T;Desulfovibrio marrakechensis EMSSDQ4 T;wastewater;negative;anaerobic;catalasePositive|H2Sproduction;acetate|ethanol|lactate|malate|pyruvate|sucrose;10.1099/ijs.0.003822-0
Desulfovibrio;Desulfovibrio paquesii;SB1T ;Desulfovibrio paquesii SB1T;bioreactor;negative;anaerobic;H2Sproduction;ethanol|formicAcid|glycerol|lactate|malate|pyruvate;10.1099/ijs.0.65616-0
Desulfovibrio;Desulfovibrio psychrotolerans;JS1;Desulfovibrio psychrotolerans JS1;hypersaline environment;negative;facultative;catalasePositive;butanol|ethanol|formicAcid|lactate|malate|pyruvate;10.1099/ijs.0.65402-0
Desulfovibrio;Desulfovibrio tunisiensis;RB22T;Desulfovibrio tunisiensis RB22T;wastewater;negative;anaerobic;;glycerol|lactate;10.1099/ijs.0.000943-0
Desulfovirgula;Desulfovirgula thermocuniculi;RL80JIVT;Desulfovirgula thermocuniculi RL80JIVT;other;positive;;;lactate|pyruvate;10.1099/ijs.0.64655-0
Desulfurispirillum;Desulfurispirillum indicum;S5T ;Desulfurispirillum indicum S5T;estuarine water;negative;anaerobic;nitrateReductionToNitrite;;10.1099/ijs.0.022392-0
Desulfurispora;Desulfurispora thermophila;RA50E1T;Desulfurispora thermophila RA50E1T;bioreactor;positive;anaerobic;;lactate|pyruvate;10.1099/ijs.0.64593-0
Desulfuromonas;Desulfuromonas svalbardensis;112;Desulfuromonas svalbardensis 112;marine sediment;negative;anaerobic;;acetate|ethanol;10.1099/ijs.0.63639-0
Desulfuromusa;Desulfuromusa ferrireducens;102;Desulfuromusa ferrireducens 102;marine sediment;negative;anaerobic;;acetate|ethanol|lactate|proline|pyruvate;10.1099/ijs.0.63639-0
Dethiosulfatibacter;Dethiosulfatibacter aminovorans;C/G2T;Dethiosulfatibacter aminovorans C/G2T;estuarine sediment;variable;anaerobic;indoleProduction;arginine|glutamicAcid|histidine|lactate|pyruvate|serine|threonine;10.1099/ijs.0.64882-0
Dethiosulfovibrio;Dethiosulfovibrio salsuginis;USBA 82;Dethiosulfovibrio salsuginis USBA 82;other|hypersaline environment;negative;anaerobic;;arginine|citrate|glutamicAcid|threonine|arginine|citrate|glutamicAcid|pyruvate|threonine;10.1099/ijs.0.010835-0
Devosia;Devosia albogilva;IPL15T ;Devosia albogilva IPL15T;other;negative;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive|ureasePositive;arabinose|fructose|galactose|glucose|lactose|maltose|mannitol|mannose|sucrose|xylose;10.1099/ijs.0.005447-0
Devosia;Devosia chinhatensis;IPL18;Devosia chinhatensis IPL18;soil;negative;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive|ureasePositive;arabinose|glucose|maltose|mannitol|mannose;10.1099/ijs.0.65574-0
Devosia;Devosia crocina;IPL20T;Devosia crocina IPL20T;other;negative;aerobic;aesculinHydrolysis|oxidasePositive|ureasePositive;arabinose|fructose|galactose|lactose|maltose|mannitol|mannose|xylose;10.1099/ijs.0.005447-0
Devosia;Devosia geojensis;BD-c194;Devosia geojensis BD-c194;soil;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive|ureasePositive;glucose|maltose|mannitol|mannose|N-acetylgulcosamine;10.1099/ijs.0.65481-0
Devosia;Devosia glacialis;Cr4-44;Devosia glacialis Cr4-44;other;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|ureasePositive;;10.1099/ijs.0.023937-0
Devosia;Devosia insulae;DS-56T;Devosia insulae DS-56T;soil;negative;;ureasePositive;;10.1099/ijs.0.65028-0
Devosia;Devosia limi;LMG 22951T;Devosia limi LMG 22951T;other;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;leucine;10.1099/ijs.0.63714-0
Devosia;Devosia psychrophila;Cr7-05;Devosia psychrophila Cr7-05;other;negative;aerobic;acidPhosphatase|alkalinePhosphatase;arabinose|glucose|maltose|mannitol|mannose|N-acetylgulcosamine;10.1099/ijs.0.023937-0
Devosia;Devosia subaequoris;HST3-14T;Devosia subaequoris HST3-14T;marine sediment;negative;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;maltose|mannitol|mannose;10.1099/ijs.0.65185-0
Devosia;Devosia submarina;KMM 9415;Devosia submarina KMM 9415;marine sediment;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;proline;10.1099/ijs.0.046607-0
Devosia;Devosia yakushimensis;Yak96B;Devosia yakushimensis Yak96B;other|plant associated;negative;aerobic;catalasePositive|oxidasePositive|acidPhosphatase|alkalinePhosphatase|alphaGalactosidase|catalasePositive|oxidasePositive|ureasePositive;arabinose|glucose|maltose|mannitol|mannose|arabinose|cellobiose|fructose|fucose|galactose|gluconicAcid|glucose|lactose|maltose|mannose|melibiose|myo-inositol|raffinose|rhamnose|ribose|salicin|sorbitol|trehalose|xylose;10.1099/ijs.0.011254-0
Devriesea;Devriesea agamarum;IMP2;Devriesea agamarum IMP2;other;positive;facultative;aesculinHydrolysis|catalasePositive|ureasePositive;fructose|galactose|glucose|maltose|mannose|melibiose|N-acetylgulcosamine|raffinose|sucrose|trehalose;10.1099/ijs.0.65478-0
Dialister;Dialister micraerophilus;ADV 04.01T;Dialister micraerophilus ADV 04.01T;other;negative;anaerobic;;arginine|phenylalanine|serine;10.1099/ijs.0.63715-0
Dialister;Dialister propionicifaciens;ADV 1053.03T;Dialister propionicifaciens ADV 1053.03T;other;negative;anaerobic;;acetate|lactate;10.1099/ijs.0.63715-0
Dialister;Dialister succinatiphilus;YIT 11850;Dialister succinatiphilus YIT 11850;human - fecal;negative;anaerobic;acidPhosphatase|alkalinePhosphatase;lactose;10.1099/ijs.0.2008/000810-0
Diaphorobacter;Diaphorobacter oryzae;RF3T;Diaphorobacter oryzae RF3T;soil;negative;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;3-hydroxybutyrate|4-hydroxbenzoate|acetate|alanine|caprate|gluconicAcid|glucose|histidine|lactate|malate|proline|serine|valerate;10.1099/ijs.0.001669-0
Dickeya;Dickeya dadantii;CFBP 1269T;Dickeya dadantii CFBP 1269T;plant associated;negative;facultative;indoleProduction|nitrateReductionToNitrite;arabinose|cellobiose|glucose|lactose|malate|mannitol|mannose|melibiose|myo-inositol|raffinose;10.1099/ijs.0.02791-0
Dickeya;Dickeya dianthicola;CFBP 1200T;Dickeya dianthicola CFBP 1200T;plant associated;negative;facultative;indoleProduction|nitrateReductionToNitrite;arabinose|glucose|malate|mannitol|mannose|melibiose|myo-inositol|raffinose;10.1099/ijs.0.02791-0
Dickeya;Dickeya dieffenbachiae;CFBP 2051T;Dickeya dieffenbachiae CFBP 2051T;plant associated;negative;facultative;indoleProduction|nitrateReductionToNitrite;arabinose|glucose|malate|mannitol|mannose|myo-inositol;10.1099/ijs.0.02791-0
Dickeya;Dickeya zeae;CFBP 2052T;Dickeya zeae CFBP 2052T;plant associated;negative;facultative;indoleProduction|nitrateReductionToNitrite;alanine|arabinose|cellobiose|glucose|lactose|malate|mannitol|mannose|melibiose|myo-inositol|raffinose;10.1099/ijs.0.02791-0
Diddensiella;Diddensiella caesifluorescens;NCAIM Y.01949;Diddensiella caesifluorescens NCAIM Y.01949;other;;;;arabinose|cellobiose|citrate|ethanol|galactose|glucosamine|glucose|glycerol|maltose|mannitol|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylitol|xylose;10.1099/ijs.0.042895-0
Dietzia;Dietzia aerolata;Sj14a;Dietzia aerolata Sj14a;other;positive;aerobic;catalasePositive|oxidasePositive;glucose|mannose;10.1099/ijs.0.012807-0
Dietzia;Dietzia aurantiaca;CCUG 35676;Dietzia aurantiaca CCUG 35676;other;positive;aerobic;catalasePositive|oxidasePositive;arabinose|cellobiose|glucose|N-acetylgulcosamine|sucrose;10.1099/ijs.0.032557-0
Dietzia;Dietzia cercidiphylli;YIM 65002;Dietzia cercidiphylli YIM 65002;other;positive;aerobic;catalasePositive|ureasePositive;arabinose|fructose|glucose|lactose|maltose|mannose|sucrose;10.1099/ijs.0.2008/000919-0
