microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ20;Thioalkalivibrio sp. ALJ20;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ21;Thioalkalivibrio sp. ALJ21;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ24;Thioalkalivibrio sp. ALJ24;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ3;Thioalkalivibrio sp. ALJ3;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ4;Thioalkalivibrio sp. ALJ4;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ5;Thioalkalivibrio sp. ALJ5;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ6;Thioalkalivibrio sp. ALJ6;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ7;Thioalkalivibrio sp. ALJ7;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ8;Thioalkalivibrio sp. ALJ8;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ9;Thioalkalivibrio sp. ALJ9;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJT;Thioalkalivibrio sp. ALJT;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALM2T;Thioalkalivibrio sp. ALM2T;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALMg11;Thioalkalivibrio sp. ALMg11;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALMg13 2;Thioalkalivibrio sp. ALMg13 2;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALMg2;Thioalkalivibrio sp. ALMg2;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALMg3;Thioalkalivibrio sp. ALMg3;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALMg9;Thioalkalivibrio sp. ALMg9;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALRh;Thioalkalivibrio sp. ALRh;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALSr1;Thioalkalivibrio sp. ALSr1;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ARh3;Thioalkalivibrio sp. ARh3;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ARh4;Thioalkalivibrio sp. ARh4;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ARh5;Thioalkalivibrio sp. ARh5;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;HL Eb18;Thioalkalivibrio sp. HL Eb18;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;K90mix;Thioalkalivibrio sp. K90mix;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sulfidophilus;;Thioalkalivibrio sulfidophilus;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio thiocyanodenitrificans;;Thioalkalivibrio thiocyanodenitrificans;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio thiocyanoxidans;;Thioalkalivibrio thiocyanoxidans;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio versutus;;Thioalkalivibrio versutus;;;;yes;
Thiobacillus;Thiobacillus denitrificans;;Thiobacillus denitrificans;negative;;;no;
Thiobacillus;Thiobacillus thioparus;;Thiobacillus thioparus;negative;;;;
Thiocapsa;Thiocapsa marina;;Thiocapsa marina;negative;;;;
Thiocystis;Thiocystis violascens;;Thiocystis violascens;negative;;;no;
Thioflavicoccus;Thioflavicoccus mobilis;;Thioflavicoccus mobilis;negative;;;no;
Thiomicrospira;Thiomicrospira arctica;;Thiomicrospira arctica;negative;;;no;
Thiomicrospira;Thiomicrospira crunogena;;Thiomicrospira crunogena;negative;;;no;
Thiomicrospira;Thiomicrospira halophila;;Thiomicrospira halophila;negative;;;no;
Thiomonas;Thiomonas intermedia;;Thiomonas intermedia;negative;;;no;
Thiomonas;Thiomonas sp. ;FB 6;Thiomonas sp. FB 6;;;;no;
Thiorhodococcus;Thiorhodococcus drewsii;;Thiorhodococcus drewsii;negative;;no;no;
Thiorhodospira;Thiorhodospira sibirica;;Thiorhodospira sibirica;;;;yes;
Thiorhodovibrio;Thiorhodovibrio sp. ;970;Thiorhodovibrio sp. 970;negative;;no;no;
Thiothrix;Thiothrix disciformis;;Thiothrix disciformis;negative;;;no;
Thiothrix;Thiothrix flexilis;;Thiothrix flexilis;negative;;;no;
Thiothrix;Thiothrix nivea;;Thiothrix nivea;negative;;;no;
Thiovulum;Thiovulum sp. ;ES;Thiovulum sp. ES;;;no;no;
Tistrella;Tistrella mobilis;;Tistrella mobilis;negative;;no;;
Tobacco;Tobacco curly ;shoot alphasatellite;Tobacco curly shoot alphasatellite;;;;;plant
Tobacco;Tobacco curly ;shoot betasatellite;Tobacco curly shoot betasatellite;;;;;plant
Tobacco;Tobacco leaf ;chlorosis betasatellite;Tobacco leaf chlorosis betasatellite;;;;;plant
Tobacco;Tobacco leaf ;curl betasatellite;Tobacco leaf curl betasatellite;;;;;
Tobacco;Tobacco leaf ;curl disease associated sequence;Tobacco leaf curl disease associated sequence;;;;;
Tobacco;Tobacco leaf ;curl PUSA alphasatellite;Tobacco leaf curl PUSA alphasatellite;;;;;plant
Tolumonas;Tolumonas auensis;;Tolumonas auensis;negative;;no;no;
Tomato;Tomato apical ;stunt viroid;Tomato apical stunt viroid;;;;no;plant
Tomato;Tomato chlorotic ;dwarf viroid;Tomato chlorotic dwarf viroid;;;;no;plant
Tomato;Tomato leaf ;curl Bangladesh betasatellite;Tomato leaf curl Bangladesh betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl betasatellite;Tomato leaf curl betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl China betasatellite;Tomato leaf curl China betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Hajipur betasatellite;Tomato leaf curl Hajipur betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Java betasatellite;Tomato leaf curl Java betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Joydebpur betasatellite;Tomato leaf curl Joydebpur betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Karnataka alphasatellite;Tomato leaf curl Karnataka alphasatellite;;;;no;plant
Tomato;Tomato leaf ;curl New Delhi betasatellite;Tomato leaf curl New Delhi betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Pakistan alphasatellite;Tomato leaf curl Pakistan alphasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Patna betasatellite;Tomato leaf curl Patna betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Philippine betasatellite;Tomato leaf curl Philippine betasatellite;;;;no;plant
Tomato;Tomato leaf ;curl Togo betasatellite Togo 2006;Tomato leaf curl Togo betasatellite Togo 2006;;;;no;plant
Tomato;Tomato leaf ;curl Yemen betasatellite;Tomato leaf curl Yemen betasatellite;;;;no;plant
Tomato;Tomato planta ;macho viroid;Tomato planta macho viroid;;;;no;plant
Tomato;Tomato yellow ;dwarf disease associated satellite DNA beta Kochi;Tomato yellow dwarf disease associated satellite DNA beta Kochi;;;;;
Tomato;Tomato yellow ;leaf curl China alphasatellite;Tomato yellow leaf curl China alphasatellite;;;;;plant
Tomato;Tomato yellow ;leaf curl China betasatellite;Tomato yellow leaf curl China betasatellite;;;;;plant
Tomato;Tomato yellow ;leaf curl Thailand betasatellite;Tomato yellow leaf curl Thailand betasatellite;;;;;plant
Torulaspora;Torulaspora delbrueckii;;Torulaspora delbrueckii;;;;no;
Toxoplasma;Toxoplasma gondii;;Toxoplasma gondii;;;;;
Treponema;Treponema azotonutricium;;Treponema azotonutricium;negative;;;yes;
Treponema;Treponema brennaborense;;Treponema brennaborense;negative;;;yes;
Treponema;Treponema bryantii;;Treponema bryantii;negative;;;yes;
Treponema;Treponema caldaria;;Treponema caldaria;negative;;;yes;
Treponema;Treponema denticola;;Treponema denticola;negative;;;yes;
Treponema;Treponema lecithinolyticum;;Treponema lecithinolyticum;negative;;;yes;
Treponema;Treponema maltophilum;;Treponema maltophilum;negative;;;yes;
Treponema;Treponema medium;;Treponema medium;negative;;;yes;
Treponema;Treponema pallidum;;Treponema pallidum;negative;;;yes;animal
Treponema;Treponema paraluiscuniculi;;Treponema paraluiscuniculi;negative;;;yes;animal
Treponema;Treponema pedis;;Treponema pedis;negative;;;no;
Treponema;Treponema phagedenis;;Treponema phagedenis;negative;;yes;;
Treponema;Treponema primitia;;Treponema primitia;negative;;no;no;
Treponema;Treponema saccharophilum;;Treponema saccharophilum;negative;;no;no;
Treponema;Treponema socranskii;;Treponema socranskii;negative;humanMicrobiome;;no;
Treponema;Treponema sp. ;JC4;Treponema sp. JC4;negative;;yes;;
Treponema;Treponema succinifaciens;;Treponema succinifaciens;negative;;no;no;
Treponema;Treponema vincentii;;Treponema vincentii;negative;;yes;;
Trichodesmium;Trichodesmium erythraeum;;Trichodesmium erythraeum;;;;no;animal
Trichomonas;Trichomonas vaginalis;;Trichomonas vaginalis;;;yes;no;animal
Trichophyton;Trichophyton verrucosum;;Trichophyton verrucosum;;humanMicrobiome;no;no;animal
Trichormus;Trichormus azollae;;Trichormus azollae;negative;;no;;
Tropheryma;Tropheryma whipplei;;Tropheryma whipplei;positive;humanMicrobiome;yes;no;
Truepera;Truepera radiovictrix;;Truepera radiovictrix;positive;;no;yes;
Trypanosoma;Trypanosoma brucei;;Trypanosoma brucei;;;yes;no;animal
Trypanosoma;Trypanosoma cruzi;;Trypanosoma cruzi;;;yes;no;animal
Tsukamurella;Tsukamurella paurometabola;;Tsukamurella paurometabola;positive;;;;animal
Tsukamurella;Tsukamurella phage ;TPA2;Tsukamurella phage TPA2;;;;no;
Tsukamurella;Tsukamurella sp. ;1534;Tsukamurella sp. 1534;positive;;;;animal
Tuber;Tuber melanosporum;;Tuber melanosporum;;;no;no;
Turicella;Turicella otitidis;;Turicella otitidis;positive;humanMicrobiome;yes;no;
Turicibacter;Turicibacter sanguinis;;Turicibacter sanguinis;positive;humanMicrobiome;yes;no;
Turicibacter;Turicibacter sp. ;HGF1;Turicibacter sp. HGF1;positive;humanMicrobiome;;no;
Turneriella;Turneriella parva;;Turneriella parva;negative;;;;
TYLCAxV;TYLCAxV Sic1 ;IT Sic2 2 04;TYLCAxV Sic1 IT Sic2 2 04;;;;;
TYLCCNV;TYLCCNV Y322 ;satellite DNA beta;TYLCCNV Y322 satellite DNA beta;;;;;
Uliginosibacterium;Uliginosibacterium gangwonense;;Uliginosibacterium gangwonense;negative;;;;
Uncinocarpus;Uncinocarpus reesii;;Uncinocarpus reesii;;;no;no;
Ureaplasma;Ureaplasma parvum;;Ureaplasma parvum;negative;humanMicrobiome;yes;no;
Ureaplasma;Ureaplasma urealyticum;;Ureaplasma urealyticum;negative;humanMicrobiome;yes;no;
Ureibacillus;Ureibacillus thermosphaericus;;Ureibacillus thermosphaericus;negative;;;yes;
Ustilago;Ustilago maydis;;Ustilago maydis;;;;no;plant
Vagococcus;Vagococcus lutrae;;Vagococcus lutrae;positive;;yes;no;animal
Vanderwaltozyma;Vanderwaltozyma polyspora;;Vanderwaltozyma polyspora;;;;no;
Varibaculum;Varibaculum cambriense;;Varibaculum cambriense;positive;humanMicrobiome;yes;no;
Variovorax;Variovorax paradoxus;;Variovorax paradoxus;negative;;;;
Variovorax;Variovorax sp. ;CF313;Variovorax sp. CF313;negative;;;;
Veillonella;Veillonella atypica;;Veillonella atypica;negative;humanMicrobiome;;no;
Veillonella;Veillonella dispar;;Veillonella dispar;negative;humanMicrobiome;yes;no;
Veillonella;Veillonella parvula;;Veillonella parvula;negative;humanMicrobiome;yes;no;
Veillonella;Veillonella ratti;;Veillonella ratti;negative;;;no;
Veillonella;Veillonella sp. ;3 1 44;Veillonella sp. 3 1 44;negative;humanMicrobiome;;no;
Veillonella;Veillonella sp. ;6 1 27;Veillonella sp. 6 1 27;negative;humanMicrobiome;;no;
Veillonella;Veillonella sp. ;ACP1;Veillonella sp. ACP1;negative;humanMicrobiome;;no;
Veillonella;Veillonella sp. ;HPA0037;Veillonella sp. HPA0037;;;;;
Veillonella;Veillonella sp. ;oral taxon 158;Veillonella sp. oral taxon 158;negative;humanMicrobiome;;no;
Veillonella;Veillonella sp. ;oral taxon 780;Veillonella sp. oral taxon 780;negative;humanMicrobiome;;no;
Verbesina;Verbesina encelioides ;leaf curl alphasatellite;Verbesina encelioides leaf curl alphasatellite;;;;no;plant
Verminephrobacter;Verminephrobacter aporrectodeae;;Verminephrobacter aporrectodeae;negative;;;;
Verminephrobacter;Verminephrobacter eiseniae;;Verminephrobacter eiseniae;negative;;;;
Vernonia;Vernonia yellow ;vein betasatellite;Vernonia yellow vein betasatellite;;;;no;plant
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AB 629 E09;Verrucomicrobia bacterium SCGC AB 629 E09;negative;;;no;
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AAA164 A21;Verrucomicrobia bacterium SCGC AAA164 A21;;;;;
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AAA164 L15;Verrucomicrobia bacterium SCGC AAA164 L15;;;;;
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AAA164 O14;Verrucomicrobia bacterium SCGC AAA164 O14;;;;;
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AAA168 E21;Verrucomicrobia bacterium SCGC AAA168 E21;;;;;
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AAA300 K03;Verrucomicrobia bacterium SCGC AAA300 K03;negative;;;no;
Verrucomicrobia;Verrucomicrobia bacterium;SCGC AAA300 O17;Verrucomicrobia bacterium SCGC AAA300 O17;negative;;;;
Verrucomicrobiae;Verrucomicrobiae bacterium;DG1235;Verrucomicrobiae bacterium DG1235;negative;humanMicrobiome;no;yes;
Verrucomicrobium;Verrucomicrobium sp. ;3C;Verrucomicrobium sp. 3C;negative;;no;;
Verrucomicrobium;Verrucomicrobium spinosum;;Verrucomicrobium spinosum;negative;;no;no;
Verrucosispora;Verrucosispora maris;;Verrucosispora maris;positive;;yes;no;
Verticillium;Verticillium alfalfae;;Verticillium alfalfae;;;;no;plant
Vibrio;Vibrio albensis;;Vibrio albensis;negative;;;no;animal
Vibrio;Vibrio alginolyticus;;Vibrio alginolyticus;negative;;;yes;
Vibrio;Vibrio anguillarum;;Vibrio anguillarum;negative;;;;
Vibrio;Vibrio azureus;;Vibrio azureus;negative;;;;
Vibrio;Vibrio brasiliensis;;Vibrio brasiliensis;negative;;;;
Vibrio;Vibrio breoganii;;Vibrio breoganii;negative;;;no;
Vibrio;Vibrio campbellii;;Vibrio campbellii;negative;;;;
Vibrio;Vibrio caribbenthicus;;Vibrio caribbenthicus;negative;;;;
Vibrio;Vibrio cholerae;;Vibrio cholerae;negative;;;no;
Vibrio;Vibrio coralliilyticus;;Vibrio coralliilyticus;negative;;;;
Vibrio;Vibrio crassostreae;;Vibrio crassostreae;negative;;;no;animal
Vibrio;Vibrio cyclitrophicus;;Vibrio cyclitrophicus;negative;;;no;animal
Vibrio;Vibrio ezurae;;Vibrio ezurae;negative;;;no;
Vibrio;Vibrio furnissii;;Vibrio furnissii;negative;;;no;animal
Vibrio;Vibrio gazogenes;;Vibrio gazogenes;negative;;;no;plant
Vibrio;Vibrio genomosp;F10;Vibrio genomosp F10;negative;;;no;
Vibrio;Vibrio genomosp;F6;Vibrio genomosp F6;negative;;;no;
Vibrio;Vibrio halioticoli;;Vibrio halioticoli;negative;;;no;
Vibrio;Vibrio harveyi;;Vibrio harveyi;negative;;;no;animal
Vibrio;Vibrio ichthyoenteri;;Vibrio ichthyoenteri;negative;;;no;animal
Vibrio;Vibrio kanaloae;;Vibrio kanaloae;negative;;;no;
Vibrio;Vibrio metschnikovii;;Vibrio metschnikovii;negative;humanMicrobiome;yes;no;animal
Vibrio;Vibrio mimicus;;Vibrio mimicus;negative;humanMicrobiome;yes;no;animal
Vibrio;Vibrio natriegens;;Vibrio natriegens;negative;;;no;
Vibrio;Vibrio nigripulchritudo;;Vibrio nigripulchritudo;negative;;;no;animal
Vibrio;Vibrio ordalii;;Vibrio ordalii;negative;;yes;no;animal
Vibrio;Vibrio orientalis;;Vibrio orientalis;;;;no;
Vibrio;Vibrio owensii;;Vibrio owensii;negative;;yes;no;animal
Vibrio;Vibrio parahaemolyticus;;Vibrio parahaemolyticus;negative;humanMicrobiome;yes;no;animal
Vibrio;Vibrio phage ;11895 B1;Vibrio phage 11895 B1;;;;no;
Vibrio;Vibrio phage ;CP T1;Vibrio phage CP T1;;;;no;
Vibrio;Vibrio phage ;CTX;Vibrio phage CTX;;;;no;
Vibrio;Vibrio phage ;douglas 12A4;Vibrio phage douglas 12A4;;;;no;
Vibrio;Vibrio phage ;fs1;Vibrio phage fs1;negative;;;no;
Vibrio;Vibrio phage ;fs2;Vibrio phage fs2;negative;;;no;
Vibrio;Vibrio phage ;helene 12B3;Vibrio phage helene 12B3;;;;no;
Vibrio;Vibrio phage ;henriette 12B8;Vibrio phage henriette 12B8;;;;no;
Vibrio;Vibrio phage ;ICP1;Vibrio phage ICP1;;;;no;
Vibrio;Vibrio phage ;ICP2;Vibrio phage ICP2;;;;no;
Vibrio;Vibrio phage ;ICP3;Vibrio phage ICP3;;;;no;
Vibrio;Vibrio phage ;JA 1;Vibrio phage JA 1;;;;no;
Vibrio;Vibrio phage ;K139;Vibrio phage K139;;;;no;
Vibrio;Vibrio phage ;kappa;Vibrio phage kappa;;;;no;
Vibrio;Vibrio phage ;KSF 1phi;Vibrio phage KSF 1phi;;;;no;
Vibrio;Vibrio phage ;KVP40;Vibrio phage KVP40;;;;no;
Vibrio;Vibrio phage ;martha 12B12;Vibrio phage martha 12B12;;;;no;
Vibrio;Vibrio phage ;N4;Vibrio phage N4;;;;no;
Vibrio;Vibrio phage ;nt 1;Vibrio phage nt 1;;;;no;
Vibrio;Vibrio phage ;pVp 1;Vibrio phage pVp 1;;;;no;
Vibrio;Vibrio phage ;PWH3a P1;Vibrio phage PWH3a P1;;;;no;
Vibrio;Vibrio phage ;pYD21 A;Vibrio phage pYD21 A;negative;humanMicrobiome;yes;yes;animal
Vibrio;Vibrio phage ;pYD38 A;Vibrio phage pYD38 A;negative;humanMicrobiome;yes;yes;animal
Vibrio;Vibrio phage ;pYD38 B;Vibrio phage pYD38 B;;;;no;
Vibrio;Vibrio phage ;SIO 2;Vibrio phage SIO 2;;;;no;
Vibrio;Vibrio phage ;vB VchM 138;Vibrio phage vB VchM 138;;;;no;
Vibrio;Vibrio phage ;vB VpaM MAR;Vibrio phage vB VpaM MAR;;;;no;
Vibrio;Vibrio phage ;vB VpaS 40238;Vibrio phage vB VpaS 40238;;;;no;
Vibrio;Vibrio phage ;VBM1;Vibrio phage VBM1;negative;humanMicrobiome;yes;yes;animal
Vibrio;Vibrio phage ;VBP32;Vibrio phage VBP32;;;;no;
Vibrio;Vibrio phage ;VBP47;Vibrio phage VBP47;;;;no;
Vibrio;Vibrio phage ;VCY phi;Vibrio phage VCY phi;negative;;;no;
Vibrio;Vibrio phage ;VEJphi;Vibrio phage VEJphi;;;;;
Vibrio;Vibrio phage ;Vf12;Vibrio phage Vf12;;;;no;
Vibrio;Vibrio phage ;Vf33;Vibrio phage Vf33;;;;yes;
Vibrio;Vibrio phage ;VFJ;Vibrio phage VFJ;;;;;
Vibrio;Vibrio phage ;VfO3K6;Vibrio phage VfO3K6;;;;;
Vibrio;Vibrio phage ;VfO4K68;Vibrio phage VfO4K68;;;;;
Vibrio;Vibrio phage ;VGJphi;Vibrio phage VGJphi;;;;;
Vibrio;Vibrio phage ;VHML;Vibrio phage VHML;;;;no;
Vibrio;Vibrio phage ;VP2;Vibrio phage VP2;;;;no;
Vibrio;Vibrio phage ;VP5;Vibrio phage VP5;;;;no;
Vibrio;Vibrio phage ;VP882;Vibrio phage VP882;;;;no;
Vibrio;Vibrio phage ;VP93;Vibrio phage VP93;;;;no;
Vibrio;Vibrio phage ;VPMS1;Vibrio phage VPMS1;;;;no;
Vibrio;Vibrio phage ;VPUSM 8;Vibrio phage VPUSM 8;;;;no;
Vibrio;Vibrio phage ;VpV262;Vibrio phage VpV262;;;;no;
Vibrio;Vibrio phage ;VSK;Vibrio phage VSK;;;;;
Vibrio;Vibrio phage ;VvAW1;Vibrio phage VvAW1;;;;no;
Vibrio;Vibrio proteolyticus;;Vibrio proteolyticus;negative;;yes;no;animal
Vibrio;Vibrio rotiferianus;;Vibrio rotiferianus;negative;;yes;no;animal
Vibrio;Vibrio rumoiensis;;Vibrio rumoiensis;negative;;;no;
Vibrio;Vibrio scophthalmi;;Vibrio scophthalmi;negative;;;no;
Vibrio;Vibrio shilonii;;Vibrio shilonii;negative;;;no;animal
Vibrio;Vibrio sinaloensis;;Vibrio sinaloensis;negative;;;no;animal
Vibrio;Vibrio sp. ;16;Vibrio sp. 16;negative;;;no;
Vibrio;Vibrio sp. ;624788;Vibrio sp. 624788;;;;no;
Vibrio;Vibrio sp. ;712i1;Vibrio sp. 712i1;negative;;;no;
Vibrio;Vibrio sp. ;AND4;Vibrio sp. AND4;negative;;;no;
Vibrio;Vibrio sp. ;EJY3;Vibrio sp. EJY3;;;;no;
Vibrio;Vibrio sp. ;Ex25;Vibrio sp. Ex25;negative;;yes;yes;
Vibrio;Vibrio sp. ;HENC 1;Vibrio sp. HENC 01;negative;;;no;
Vibrio;Vibrio sp. ;HENC 2;Vibrio sp. HENC 02;negative;;;no;
Vibrio;Vibrio sp. ;HENC 3;Vibrio sp. HENC 03;negative;;;no;
Vibrio;Vibrio sp. ;MED222;Vibrio sp. MED222;negative;;;no;
Vibrio;Vibrio sp. ;N418;Vibrio sp. N418;negative;;;no;
Vibrio;Vibrio sp. ;RC341;Vibrio sp. RC341;negative;;;no;
Vibrio;Vibrio sp. ;RC586;Vibrio sp. RC586;negative;;;no;
Vibrio;Vibrio splendidus;;Vibrio splendidus;negative;;;no;animal
Vibrio;Vibrio tasmaniensis;;Vibrio tasmaniensis;negative;;;no;animal
Vibrio;Vibrio tubiashii;;Vibrio tubiashii;negative;;;no;animal
Vibrio;Vibrio vulnificus;;Vibrio vulnificus;negative;;yes;yes;
Vibrionales;Vibrionales bacterium;SWAT 3;Vibrionales bacterium SWAT 3;negative;;;no;
Vibriophage;Vibriophage VP4;;Vibriophage VP4;;;;no;
Virgibacillus;Virgibacillus halodenitrificans;;Virgibacillus halodenitrificans;;;;yes;
Virgibacillus;Virgibacillus sp. ;CM 4;Virgibacillus sp. CM 4;;;;;
Vitreoscilla;Vitreoscilla stercoraria;;Vitreoscilla stercoraria;negative;;;no;
Vulcanisaeta;Vulcanisaeta distributa;;Vulcanisaeta distributa;;;;yes;
Vulcanisaeta;Vulcanisaeta moutnovskia;;Vulcanisaeta moutnovskia;;;;yes;
Waddlia;Waddlia chondrophila;;Waddlia chondrophila;negative;;;no;animal
Weeksella;Weeksella virosa;;Weeksella virosa;negative;;;;
Weissella;Weissella ceti;;Weissella ceti;positive;;yes;yes;animal
Weissella;Weissella cibaria;;Weissella cibaria;positive;humanMicrobiome;yes;yes;
Weissella;Weissella confusa;;Weissella confusa;positive;humanMicrobiome;yes;yes;animal
Weissella;Weissella halotolerans;;Weissella halotolerans;positive;;yes;yes;
Weissella;Weissella koreensis;;Weissella koreensis;positive;;yes;yes;
Weissella;Weissella paramesenteroides;;Weissella paramesenteroides;positive;;yes;yes;
Weissella;Weissella phage ;phiYS61;Weissella phage phiYS61;;;;no;
Wenxinia;Wenxinia marina;;Wenxinia marina;negative;;;no;
Wigglesworthia;Wigglesworthia glossinidia;;Wigglesworthia glossinidia;negative;;yes;no;
Williamsia;Williamsia sp. ;D3;Williamsia sp. D3;;;;;
Winogradskyella;Winogradskyella psychrotolerans;;Winogradskyella psychrotolerans;negative;;no;yes;
Wohlfahrtiimonas;Wohlfahrtiimonas chitiniclastica;;Wohlfahrtiimonas chitiniclastica;negative;;yes;;animal
Wolbachia;Wolbachia endosymbiont;of Brugia malayi;Wolbachia endosymbiont of Brugia malayi;negative;;;;
Wolbachia;Wolbachia endosymbiont;of Culex pipiens molestus;Wolbachia endosymbiont of Culex pipiens molestus;negative;;;;
Wolbachia;Wolbachia endosymbiont;of Culex quinquefasciatus;Wolbachia endosymbiont of Culex quinquefasciatus;negative;;no;no;
Wolbachia;Wolbachia endosymbiont;of Diaphorina citri;Wolbachia endosymbiont of Diaphorina citri;negative;;no;no;
Wolbachia;Wolbachia endosymbiont;of Drosophila melanogaster;Wolbachia endosymbiont of Drosophila melanogaster;negative;;no;no;
Wolbachia;Wolbachia endosymbiont;of Drosophila simulans;Wolbachia endosymbiont of Drosophila simulans;;;;;
Wolbachia;Wolbachia endosymbiont;of Nasonia vitripennis;Wolbachia endosymbiont of Nasonia vitripennis;negative;;;;animal
Wolbachia;Wolbachia endosymbiont;of Onchocerca ochengi;Wolbachia endosymbiont of Onchocerca ochengi;negative;;;;animal
Wolbachia;Wolbachia pipientis;;Wolbachia pipientis;negative;;yes;;animal
Wolbachia;Wolbachia sp. ;wRi;Wolbachia sp. wRi;negative;;;;
Wolinella;Wolinella succinogenes;;Wolinella succinogenes;negative;;;no;
Woodsholea;Woodsholea maritima;;Woodsholea maritima;negative;;;;
Xanthobacter;Xanthobacter autotrophicus;;Xanthobacter autotrophicus;;;;;
